id,name,year_level,student_email,parent_name,parent_email,parent_mobile,opted_out_of_catering
009804ca-62f9-4426-9a6c-52e02ec38675,Henry Cook,11,henrycook@chac.qld.edu.au,Matthew Cook,matthewcook@gmail.com,0465 886 797,false
00ff5370-acd3-46b6-97d2-df38ff091602,Alexander Johnson,11,alexanderjohnson@eq.edu.au,Alexander Johnson,alexanderjohnson@hotmail.com,0423 836 555,false
01264c07-f2ff-43b4-8f1e-8abc06f77f3c,Annabelle Phillips,11,annabellephillips@chac.qld.edu.au,Lucas Phillips,lucasphillips@yahoo.com,0460 878 654,false
01768c15-7b9e-4464-a8c7-93e0c099a5db,Georgia Campbell,12,georgiacampbell@eq.edu.au,Cooper Campbell,coopercampbell@hotmail.com,0447 047 122,false
02c81cb0-2563-4ac1-95e7-2173d4c7a9da,Noah Hall,10,noahhall@gmail.com,Toby Hall,tobyhall@yahoo.com,0473 831 678,false
033f11f4-61bf-4570-98d8-6160eab212c4,Benjamin Johnson,12,benjaminjohnson@mbbc.qld.edu.au,Aria Johnson,ariajohnson@hotmail.com,0450 608 658,false
0460e878-d577-4f3d-81da-da105572d539,Nathan Baker,12,nathanbaker@chac.qld.edu.au,Max Baker,maxbaker@icloud.com,0458 661 905,false
04729b6a-fef3-45a3-8d4c-8d3dfe848576,Jack Carter,11,jackcarter@eq.edu.au,Eleanor Carter,eleanorcarter@icloud.com,0470 299 070,false
048c89d1-91f8-45d3-aa4e-a20a09097079,Matilda Turner,11,matildaturner@loreto.qld.edu.au,Phoebe Turner,phoebeturner@yahoo.com,0467 957 174,false
04944dd4-8921-48cc-b5c2-3501a6dd1d2f,Leo Nelson,12,leonelson@gmail.com,Spencer Nelson,spencernelson@outlook.com,0440 299 372,false
0507a7be-5c11-4942-8d1c-a8b8b63b114a,Phoebe Jones,10,phoebejones@eq.edu.au,Hazel Jones,hazeljones@icloud.com,0487 095 389,false
05cb50c2-7a8f-46ef-8906-711f8e153758,Henry Hill,11,henryhill@mbbc.qld.edu.au,Ryan Hill,ryanhill@iinet.net.au,0478 813 748,false
064c00c9-602b-4147-9880-2dadc79e9bd1,Imogen Evans,12,imogenevans@eq.edu.au,Cooper Evans,cooperevans@live.com,0405 216 478,false
0785126b-c15a-4657-9a0c-4934fd242d03,Rose Smith,10,rosesmith@eq.edu.au,Daniel Smith,danielsmith@outlook.com,0458 212 605,false
09fab252-1e22-41f0-825f-3e787eb4badb,Ray Wu,11,raywu@eq.edu.au,Brandon Wu,brandonwu@gmail.com,0413 233 737,false
0b717bbd-feae-4699-970c-dd1b71adf7ea,Sara Abdallah,10,saraabdallah@gmail.com,Samir Abdallah,samirabdallah@live.com,0411 229 871,false
0c1f9e58-d589-4d1e-8b23-de2083324ca1,Hao Hu,11,haohu@student.jpc.qld.edu.au,Hong Hu,honghu@yahoo.com,0437 274 981,false
0d3c432f-2256-4ee5-94bc-bfe31d0b5e7e,Penelope Harris,10,penelopeharris@chac.qld.edu.au,Rose Harris,roseharris@iinet.net.au,0466 467 645,false
0ea35274-023f-45f8-95e5-0b9a5a010cb4,Evie Wright,10,eviewright@eq.edu.au,Harper Wright,harperwright@iinet.net.au,0426 713 347,false
0ee11860-9f08-4979-842d-44d0d9405279,Edward Campbell,10,edwardcampbell@eq.edu.au,Archie Campbell,archiecampbell@gmail.com,0440 783 880,false
0f881966-5d18-4751-9eba-a8fe1aa04be9,Harper Scott,9,harperscott@hotmail.com,Zachary Scott,zacharyscott@live.com,0448 122 078,false
10543ad5-5e44-41ec-b260-c3aff98a59c5,Blake King,11,blakeking@loreto.qld.edu.au,Samuel King,samuelking@hotmail.com,0406 195 518,false
114a3a51-c12a-4cca-95ff-ea6518880f7a,Noah Hall,10,noahhall@eq.edu.au,Charlotte Hall,charlottehall@hotmail.com,0415 140 048,false
11feb935-c0e3-4ff4-a399-9f8154cc0019,Joshua Harris,9,joshuaharris@eq.edu.au,Chloe Harris,chloeharris@gmail.com,0476 405 377,false
13e14ae5-ac1c-49c9-8d4f-6cbdc4e5fa41,Ella Green,11,ellagreen@eq.edu.au,Daniel Green,danielgreen@icloud.com,0445 210 309,false
145512d8-8924-4113-8d23-978af22ef3ad,William Williams,11,williamwilliams@gmail.com,Matilda Williams,matildawilliams@icloud.com,0451 847 999,false
15e0f1df-7065-47f1-9cb3-fcf4bd9a134c,Nathan Robinson,9,nathanrobinson@student.jpc.qld.edu.au,Tahlia Robinson,tahliarobinson@iinet.net.au,0471 594 737,false
15e7e7a0-078b-4665-87f0-7bfce20cfdef,Patrick Turner,11,patrickturner@mbbc.qld.edu.au,Connor Turner,connorturner@yahoo.com,0478 031 639,false
16b07c1f-9300-42a4-9889-2b00660cc222,Hayden King,11,haydenking@eq.edu.au,Willow King,willowking@yahoo.com,0457 892 608,false
16c47950-da47-4ed3-b94e-8e3c4f9b05e5,Sienna Walker,11,siennawalker@chac.qld.edu.au,Imogen Walker,imogenwalker@hotmail.com,0431 065 960,false
16ff6483-bb69-44cf-a490-41b631ff12c6,Ray Huang,11,rayhuang@student.jpc.qld.edu.au,Andy Huang,andyhuang@iinet.net.au,0414 019 873,false
170439a2-3722-405d-843d-3818014bf8a3,Hudson Williams,9,hudsonwilliams@eq.edu.au,Penelope Williams,penelopewilliams@live.com,0461 115 647,false
17533177-bd0d-4896-8890-37ecc1db1484,Bo Feng,12,bofeng@loreto.qld.edu.au,Cindy Feng,cindyfeng@icloud.com,0469 065 103,false
1754da4b-08f9-4ce8-b922-b71fb5539ed9,Liam Johnson,12,liamjohnson@loreto.qld.edu.au,Sophia Johnson,sophiajohnson@hotmail.com,0483 369 912,false
18a0195f-7d0f-4f56-9307-523ddcabf2f8,Amelia Thompson,12,ameliathompson@student.jpc.qld.edu.au,Noah Thompson,noahthompson@iinet.net.au,0449 811 807,false
18ebf3c4-1720-4d0d-bb26-6ceed733bbcd,Michelle Tang,11,michelletang@student.jpc.qld.edu.au,Wendy Tang,wendytang@gmail.com,0465 234 946,false
1903954d-9bf8-4444-9174-b0517379efe4,Holly Wilson,12,hollywilson@loreto.qld.edu.au,Patrick Wilson,patrickwilson@icloud.com,0463 016 480,false
19456ff7-4189-48c0-9e42-cd3112246e8e,Grace Murphy,12,gracemurphy@student.jpc.qld.edu.au,Sienna Murphy,siennamurphy@yahoo.com,0458 535 928,false
1982e981-10a4-419a-bd5f-70df92f3a09c,Aria Lewis,12,arialewis@eq.edu.au,Sophie Lewis,sophielewis@icloud.com,0410 983 594,false
1a477913-8019-48df-bf64-29628e64174c,Harper Hill,12,harperhill@gmail.com,Sophie Hill,sophiehill@gmail.com,0451 635 682,false
1a6d000c-7cfa-4089-9d51-c29f759f4b13,Ruby Campbell,9,rubycampbell@student.jpc.qld.edu.au,Sienna Campbell,siennacampbell@bigpond.com,0428 296 162,false
1aa34c49-16d3-4a2d-858d-d92399d2c987,Vivian Deng,10,viviandeng@student.jpc.qld.edu.au,Tiffany Deng,tiffanydeng@bigpond.com,0437 635 338,false
1b3244a7-7ced-4427-945e-700f18a73d66,Pooja Gupta,10,poojagupta@chac.qld.edu.au,Tanvi Gupta,tanvigupta@iinet.net.au,0404 531 629,false
1c011459-e4ce-41f3-8fad-e4b8bcd7c87b,Harper Baker,11,harperbaker@gmail.com,William Baker,williambaker@live.com,0419 595 024,false
1cacd825-c0bb-470c-8836-b61f23d37385,Amelia Turner,11,ameliaturner@chac.qld.edu.au,Lucas Turner,lucasturner@hotmail.com,0433 067 275,false
1edf3089-b187-4f05-a653-1fef17453a59,Imogen Evans,12,imogenevans@loreto.qld.edu.au,Toby Evans,tobyevans@outlook.com,0417 757 519,false
1fe05fe0-55e0-4d7f-9b88-e92a24a9f907,Charlie Turner,9,charlieturner@gmail.com,Scarlett Turner,scarlettturner@icloud.com,0402 183 411,false
200ec8e9-7c45-4db1-b9e9-4ac60aee6c94,Mia Cook,12,miacook@eq.edu.au,Hazel Cook,hazelcook@bigpond.com,0411 952 891,false
20f53d06-ea02-4191-85a0-e57c2aca14c3,Zoe Turner,12,zoeturner@eq.edu.au,Matthew Turner,matthewturner@iinet.net.au,0488 138 468,false
21e81ffc-e1bb-4f5f-b575-f26703781295,Rose Wright,12,rosewright@chac.qld.edu.au,Chloe Wright,chloewright@gmail.com,0468 920 777,false
21fd7a37-4781-4707-b3bd-3a9761f22d7e,Chloe Young,11,chloeyoung@chac.qld.edu.au,Henry Young,henryyoung@gmail.com,0411 366 078,false
238033f1-5ac1-412a-a116-3ad9ee31a7f3,Penelope Lewis,12,penelopelewis@loreto.qld.edu.au,Max Lewis,maxlewis@yahoo.com,0480 699 081,false
256a9fbd-6249-4031-a825-c52739ae1671,Pippa Edwards,11,pippaedwards@chac.qld.edu.au,Tahlia Edwards,tahliaedwards@iinet.net.au,0471 032 193,false
263048dc-d198-41f4-8a7d-2c4d06e3d72a,Olivia Scott,11,oliviascott@chac.qld.edu.au,Oliver Scott,oliverscott@bigpond.com,0409 356 091,false
27230206-9fad-42a3-948b-b51319933169,Harvey Martin,12,harveymartin@eq.edu.au,Hannah Martin,hannahmartin@live.com,0454 674 181,false
27bfce13-f932-48a3-ae7c-367f598a07dc,Aria Morris,9,ariamorris@gmail.com,Mia Morris,miamorris@hotmail.com,0403 768 162,false
2a1bd2dd-7f97-4edc-830a-f23f3027c168,Zachary Hill,12,zacharyhill@eq.edu.au,Frankie Hill,frankiehill@gmail.com,0402 494 369,false
2acf9d07-ed60-4281-939b-59466aef604f,Lily Wilson,11,lilywilson@loreto.qld.edu.au,Evie Wilson,eviewilson@bigpond.com,0417 342 220,false
2b2dae00-eb89-49a6-b076-c5ad71180b1e,Willow Turner,12,willowturner@loreto.qld.edu.au,Eleanor Turner,eleanorturner@live.com,0400 965 254,false
2c4395b8-abc6-49ca-838e-5376a9547c49,Audrey Cook,10,audreycook@loreto.qld.edu.au,Samuel Cook,samuelcook@live.com,0406 889 371,false
2e0559d1-cadb-496b-8381-b86fac246938,Matthew Mitchell,11,matthewmitchell@chac.qld.edu.au,James Mitchell,jamesmitchell@bigpond.com,0432 800 681,false
2efd04ef-14a9-4b94-b812-7b5020a0178f,Xin Sun,11,xinsun@chac.qld.edu.au,Long Sun,longsun@gmail.com,0473 403 900,false
2f70020e-12b1-470e-8322-ae493398541d,Harvey King,12,harveyking@chac.qld.edu.au,Sophie King,sophieking@gmail.com,0409 388 814,false
2f82e7db-6353-4cac-b9cc-312c36f90d25,Sophia Cook,9,sophiacook@eq.edu.au,Emily Cook,emilycook@hotmail.com,0463 966 532,false
301b06fe-3d5e-4bf0-861e-a9a8e3ec524e,Mia Campbell,9,miacampbell@gmail.com,Alexander Campbell,alexandercampbell@bigpond.com,0457 178 845,false
309fd02f-d3cb-45e9-9c4f-b6e6e0c69fcb,Sophie Turner,11,sophieturner@eq.edu.au,Mia Turner,miaturner@gmail.com,0453 577 368,false
31a4dec4-33fd-4862-af47-e528d56076ec,Hudson Mitchell,12,hudsonmitchell@chac.qld.edu.au,Harper Mitchell,harpermitchell@gmail.com,0421 816 019,false
31cb7848-2fea-48cd-a33a-d1ce92df76e1,Toby Nelson,12,tobynelson@eq.edu.au,Harvey Nelson,harveynelson@live.com,0469 235 841,false
3281bbb3-7658-4d0b-b172-94defc2a6a45,Daniel Baker,12,danielbaker@chac.qld.edu.au,Liam Baker,liambaker@outlook.com,0411 212 549,false
32b03835-d6ed-4cb4-bac8-7081f7f979a2,Madison Roberts,10,madisonroberts@student.jpc.qld.edu.au,Charlotte Roberts,charlotteroberts@bigpond.com,0467 115 657,false
332230bc-8da9-4204-8ce7-17fbe356d4ab,Georgia Clark,11,georgiaclark@student.jpc.qld.edu.au,Emily Clark,emilyclark@live.com,0439 400 930,false
375007f5-4b58-4ff8-b5df-abd6ed6fed06,Kevin Ma,10,kevinma@eq.edu.au,Zhi Ma,zhima@yahoo.com,0421 749 764,false
